Location,Indicator,Subject,Measure,Frequency,Time,Year,Month,Value
IND,CPI,TOT,AGRWTH,M,2018-07,2018,7,5.614035
IND,CPI,TOT,AGRWTH,M,2018-08,2018,8,5.614035
IND,CPI,TOT,AGRWTH,M,2018-09,2018,9,5.614035
IND,CPI,TOT,AGRWTH,M,2018-10,2018,10,5.226481
IND,CPI,TOT,AGRWTH,M,2018-11,2018,11,4.861111
IND,CPI,TOT,AGRWTH,M,2018-12,2018,12,5.244755
IND,CPI,TOT,AGRWTH,M,2019-01,2019,1,6.597222
IND,CPI,TOT,AGRWTH,M,2019-02,2019,2,6.968641
IND,CPI,TOT,AGRWTH,M,2019-03,2019,3,7.665505
IND,CPI,TOT,AGRWTH,M,2019-04,2019,4,8.333333
IND,CPI,TOT,AGRWTH,M,2019-05,2019,5,8.650519
IND,CPI,TOT,AGRWTH,M,2019-06,2019,6,8.591065
IND,CPI,TOT,AGRWTH,M,2019-07,2019,7,5.980066
IND,CPI,TOT,AGRWTH,M,2019-08,2019,8,6.312293
IND,CPI,TOT,AGRWTH,M,2019-09,2019,9,6.976744
IND,CPI,TOT,AGRWTH,M,2019-10,2019,10,7.615894
IND,CPI,TOT,AGRWTH,M,2019-11,2019,11,8.609271
