Date,Open,High,Low,Close,Adj Close,Volume,index-name
2019-01-02,36198.13,36236.7,35734.01,35891.52,35891.52,14705400,^BSESN
2019-01-03,35934.5,35999.66,35475.57,35513.71,35513.71,17400,^BSESN
2019-01-04,35590.79,35744.2,35382.08,35695.1,35695.1,15855600,^BSESN
2019-01-07,35971.18,36076.95,35809.23,35850.16,35850.16,14831200,^BSESN
2019-01-08,35964.62,36037.35,35753.95,35980.93,35980.93,16218000,^BSESN
2019-01-09,36181.37,36250.54,35863.29,36212.91,36212.91,20300,^BSESN
2019-01-10,36258.0,36269.31,36070.76,36106.5,36106.5,17331500,^BSESN
2019-01-11,36191.87,36214.26,35840.6,36009.84,36009.84,18100,^BSESN
2019-01-14,36113.27,36124.94,35691.75,35853.56,35853.56,24100,^BSESN
2019-01-15,35950.08,36349.31,35950.08,36318.33,36318.33,24000,^BSESN
2019-01-16,36370.74,36462.03,36278.61,36321.29,36321.29,16400,^BSESN
2019-01-17,36413.6,36468.42,36170.8,36374.08,36374.08,20500,^BSESN
2019-01-18,36417.58,36469.98,36218.33,36386.61,36386.61,20800,^BSESN
2019-01-21,36467.12,36701.03,36351.77,36578.96,36578.96,18700,^BSESN
2019-01-22,36649.92,36650.47,36282.93,36444.64,36444.64,17300,^BSESN
2019-01-23,36494.12,36521.47,36037.9,36108.47,36108.47,14300,^BSESN
2019-01-24,36146.55,36258.28,35996.68,36195.1,36195.1,23100,^BSESN
2019-01-25,36245.77,36474.48,35953.15,36025.54,36025.54,23000,^BSESN
2019-01-28,36099.62,36124.26,35565.15,35656.7,35656.7,15000,^BSESN
2019-01-29,35716.72,35734.14,35375.51,35592.5,35592.5,16670300,^BSESN
2019-01-30,35819.67,35850.41,35490.97,35591.25,35591.25,18974200,^BSESN
2019-01-31,35805.51,36278.13,35740.07,36256.69,36256.69,18611400,^BSESN
2019-02-01,36311.74,36778.14,36221.32,36469.43,36469.43,31815100,^BSESN
2019-02-04,36456.22,36622.77,36225.48,36582.74,36582.74,15600,^BSESN
2019-02-05,36573.04,36727.83,36495.83,36616.81,36616.81,14104800,^BSESN
2019-02-06,36714.54,37005.25,36680.88,36975.23,36975.23,13931600,^BSESN
2019-02-07,37026.56,37172.18,36898.8,36971.09,36971.09,14600,^BSESN
2019-02-08,36873.59,36885.58,36480.62,36546.48,36546.48,21600,^BSESN
2019-02-11,36585.5,36588.41,36300.48,36395.03,36395.03,19200,^BSESN
2019-02-12,36405.72,36465.4,36113.91,36153.62,36153.62,12200,^BSESN
2019-02-14,36065.08,36109.1,35799.42,35876.22,35876.22,32500,^BSESN
2019-02-15,35985.68,36022.57,35510.97,35808.95,35808.95,23000,^BSESN
2019-02-18,35831.18,35912.44,35470.76,35498.44,35498.44,15900,^BSESN
2019-02-19,35543.24,35776.04,35287.16,35352.61,35352.61,10100,^BSESN
2019-02-20,35564.93,35797.11,35469.49,35756.26,35756.26,12500,^BSESN
2019-02-21,35837.0,35983.07,35707.29,35898.35,35898.35,11400,^BSESN
2019-02-22,35906.01,35941.69,35795.79,35871.48,35871.48,18400,^BSESN
2019-02-25,35983.8,36242.18,35901.06,36213.38,36213.38,11800,^BSESN
2019-02-26,35975.75,36172.52,35714.16,35973.71,35973.71,17900,^BSESN
2019-02-27,36138.83,36371.11,35735.33,35905.43,35905.43,19300,^BSESN
2019-02-28,36025.72,36085.85,35829.15,35867.44,35867.44,11900,^BSESN
2019-03-01,36018.49,36140.67,35952.41,36063.81,36063.81,16700,^BSESN
2019-03-05,36141.07,36457.44,35926.94,36442.54,36442.54,21200,^BSESN
2019-03-06,36544.86,36666.47,36456.82,36636.1,36636.1,15900,^BSESN
2019-03-07,36744.02,36830.25,36590.88,36725.42,36725.42,16800,^BSESN
2019-03-08,36753.59,36753.59,36592.93,36671.43,36671.43,14600,^BSESN
2019-03-11,36741.57,37106.19,36726.39,37054.1,37054.1,14400,^BSESN
2019-03-12,37249.65,37586.63,37230.85,37535.66,37535.66,19500,^BSESN
2019-03-13,37608.29,37797.29,37478.87,37752.17,37752.17,21000,^BSESN
2019-03-14,37840.64,37907.78,37693.69,37754.89,37754.89,15600,^BSESN
2019-03-15,37760.23,38254.77,37760.23,38024.32,38024.32,16300,^BSESN
2019-03-18,38132.96,38369.59,37952.1,38095.07,38095.07,15900,^BSESN
2019-03-19,38218.59,38396.06,38078.23,38363.47,38363.47,15100,^BSESN
