Date,Open,High,Low,Close,Adj Close,Volume,index-name
2010-01-04,17473.45,17582.84,17378.38,17558.73,17558.73,28200,^BSESN
2010-01-05,17555.77,17729.78,17555.77,17686.24,17686.24,27000,^BSESN
2010-01-06,17719.47,17790.33,17636.71,17701.13,17701.13,21400,^BSESN
2010-01-07,17701.97,17733.34,17566.54,17615.72,17615.72,18000,^BSESN
2010-01-08,17603.87,17658.12,17508.96,17540.29,17540.29,17200,^BSESN
2010-01-11,17724.59,17776.57,17500.79,17526.71,17526.71,18400,^BSESN
2010-01-12,17534.1,17612.0,17392.55,17422.51,17422.51,18600,^BSESN
2010-01-13,17368.03,17528.31,17276.46,17509.8,17509.8,26200,^BSESN
2010-01-14,17525.71,17628.04,17525.71,17584.87,17584.87,23400,^BSESN
2010-01-15,17604.31,17639.85,17529.11,17554.3,17554.3,17600,^BSESN
2010-01-18,17538.72,17712.6,17505.5,17641.08,17641.08,15400,^BSESN
2010-01-19,17650.82,17664.86,17463.78,17486.06,17486.06,13400,^BSESN
2010-01-20,17486.69,17590.59,17425.05,17474.49,17474.49,17000,^BSESN
2010-01-21,17474.49,17474.49,17025.26,17051.14,17051.14,17200,^BSESN
2010-01-22,16978.36,17000.33,16608.09,16859.68,16859.68,23200,^BSESN
2010-01-25,16847.7,16877.77,16705.56,16780.46,16780.46,16400,^BSESN
2010-01-27,16708.6,16708.6,16230.85,16289.82,16289.82,25600,^BSESN
2010-01-28,16317.16,16524.69,16182.14,16306.87,16306.87,21600,^BSESN
2010-01-29,16253.82,16390.31,15982.08,16357.96,16357.96,25400,^BSESN
2010-02-01,16339.32,16422.4,16160.8,16356.03,16356.03,20000,^BSESN
2010-02-02,16368.44,16525.98,16129.11,16163.44,16163.44,20600,^BSESN
2010-02-03,16210.25,16552.99,16210.25,16496.05,16496.05,16400,^BSESN
2010-02-04,16500.29,16508.22,16188.8,16224.95,16224.95,15800,^BSESN
2010-02-05,16222.56,16222.56,15725.43,15790.93,15790.93,23000,^BSESN
2010-02-08,15931.34,16061.41,15651.99,15935.61,15935.61,26600,^BSESN
2010-02-09,15940.73,16094.13,15862.9,16042.18,16042.18,21200,^BSESN
2010-02-10,16042.18,16141.13,15892.01,15922.17,15922.17,19800,^BSESN
2010-02-11,15928.28,16202.87,15928.28,16152.59,16152.59,14400,^BSESN
2010-02-15,16186.9,16227.04,16011.82,16038.35,16038.35,17000,^BSESN
2010-02-16,16042.18,16310.39,16021.29,16226.68,16226.68,20600,^BSESN
2010-02-17,16228.91,16480.89,16228.91,16428.91,16428.91,19600,^BSESN
2010-02-18,16421.2,16452.51,16287.17,16327.84,16327.84,14000,^BSESN
2010-02-19,16256.53,16301.94,16074.58,16191.63,16191.63,19400,^BSESN
2010-02-22,16191.32,16423.23,16191.32,16237.05,16237.05,14000,^BSESN
2010-02-23,16213.14,16324.93,16178.91,16286.32,16286.32,13400,^BSESN
2010-02-24,16218.68,16328.44,16187.44,16255.97,16255.97,12400,^BSESN
2010-02-25,16264.1,16329.33,16167.13,16254.2,16254.2,12200,^BSESN
2010-02-26,16255.33,16669.25,16249.67,16429.55,16429.55,31000,^BSESN
2010-03-02,16438.45,16808.49,16438.45,16772.56,16772.56,22400,^BSESN
2010-03-03,16778.29,17012.61,16778.29,17000.01,17000.01,20000,^BSESN
2010-03-04,17013.68,17024.96,16888.05,16971.7,16971.7,19000,^BSESN
2010-03-05,16988.29,17097.71,16936.12,16994.49,16994.49,19600,^BSESN
2010-03-08,17034.92,17187.55,17034.92,17102.6,17102.6,15200,^BSESN
2010-03-09,17089.22,17130.83,17031.21,17052.54,17052.54,56600,^BSESN
2010-03-10,17072.94,17183.51,17027.92,17098.33,17098.33,16800,^BSESN
2010-03-11,17087.63,17215.07,17054.28,17167.96,17167.96,11400,^BSESN
2010-03-12,17176.02,17244.54,17126.93,17166.62,17166.62,24000,^BSESN
2010-03-15,17166.97,17195.49,17061.14,17164.99,17164.99,14200,^BSESN
2010-03-16,17169.84,17416.55,17150.06,17383.18,17383.18,12400,^BSESN
2010-03-17,17389.47,17576.78,17389.47,17490.08,17490.08,16800,^BSESN
2010-03-18,17492.81,17548.13,17417.61,17519.26,17519.26,13600,^BSESN
2010-03-19,17531.47,17600.87,17502.14,17578.23,17578.23,13800,^BSESN
2010-03-22,17481.96,17559.18,17337.38,17410.57,17410.57,12200,^BSESN
2010-03-23,17422.51,17530.79,17356.64,17451.02,17451.02,12600,^BSESN
2010-03-25,17458.51,17575.23,17383.21,17558.85,17558.85,13800,^BSESN
2010-03-26,17558.85,17682.94,17558.85,17644.76,17644.76,13000,^BSESN
2010-03-29,17639.18,17793.01,17639.18,17711.35,17711.35,14800,^BSESN
2010-03-30,17703.67,17783.35,17558.22,17590.17,17590.17,12600,^BSESN
2010-03-31,17602.39,17699.5,17488.55,17527.77,17527.77,13600,^BSESN
2010-04-01,17555.04,17706.56,17555.04,17692.62,17692.62,13000,^BSESN
2010-04-05,17693.66,17948.54,17693.66,17935.68,17935.68,12800,^BSESN
2010-04-06,17940.32,17991.41,17898.0,17941.37,17941.37,12400,^BSESN
2010-04-07,17915.6,18047.86,17878.31,17970.02,17970.02,13200,^BSESN
2010-04-08,17950.56,17960.91,17679.34,17714.4,17714.4,11800,^BSESN
2010-04-09,17715.16,17971.47,17715.16,17933.14,17933.14,12200,^BSESN
2010-04-12,17874.16,17995.25,17816.19,17853.0,17853.0,9800,^BSESN
2010-04-13,17831.38,17892.78,17736.09,17821.96,17821.96,12800,^BSESN
2010-04-15,17804.55,17975.57,17619.02,17639.26,17639.26,12600,^BSESN
2010-04-16,17645.91,17663.99,17529.55,17591.18,17591.18,11600,^BSESN
2010-04-19,17584.86,17584.86,17276.8,17400.68,17400.68,11800,^BSESN
2010-04-20,17394.68,17560.09,17394.68,17460.58,17460.58,14000,^BSESN
2010-04-21,17458.76,17565.55,17446.51,17472.56,17472.56,10000,^BSESN
2010-04-22,17476.48,17778.34,17408.02,17573.99,17573.99,17600,^BSESN
2010-04-23,17533.88,17725.88,17533.88,17694.2,17694.2,17200,^BSESN
